codigoprod;nombre;precio1
1;tinta negro recarga;10000
2;tinta color  recarga;15000
3;saladix duo 80 grs;7000
4;galletita tortuguita;3000
5;coca cola 2 lts descartable;15500
6;coca cola 1,5 lts descartable;12500
7;coca cola 1/2 lts descartable;6000
8;coca cola 1/4 lts descartable;3500
9;agua mineral en sachet;1000
10;agua mineral 500 c.c;2000
11;chiclet topline;2500
12;cigarrillo palermo 20 unid;3500
13;nico chico;1500
14;nico de un litro;2500
15;yerba caja de carton 1/4 campesino,kurupi;6000
16;cigarrillo kentucky 20 box;4000
17;cigarrillo philip morris 20 box;8000
18;cigarrillos philip morris 10;4000
19;cigarrillo palermo 10 unid azul y verde;2500
20;cigarrillos malboro rojo de 10;7000
21;paquete fosforo chico;500
22;jugo delvalle;11000
23;crema dental colgate 180 gr;13000
24;yes yes fardo jet asadito 720 gr;1000
25;galletita aventura  minichips 35 grs;2000
26;helado de 1/ 2  k;15500
27;helado de 1/4 k;7000
28;helado cucurucho chico 85 grs;2500
29;helado cucurucho grande 100 grs;4000
30;helado vasito;3000
31;cucurucho grande vacio;500
32;impresiones negro;1000
33;impresiones color;2000
34;hielo;1000
35;heladitos;500
36;trabajo por compu;
37;yerba indega de 250  grs;4000
38;yerba indega de 100 grs;2000
39;coca cola 1 1/2 litros  vidrio retornable;9500
40;edulcorante si diet de 600 c.c.;13000
41;gaseosa de la costa 2 lts;4000
42;gaseosa de la costa 330 c.c.;1500
43;helado;31
44;cucharita;10
45;isopor de 1/4;
46;isopor de 1/2 kilo;
47;isopor de 1 k;
48;cucurucho chico vacio;500
49;vasito vacio;300
50;cigarrillo kentucky 20 tapa blanda;3000
51;galletita amor;5000
52;galletita melliza;5000
53;galletita rumba;5000
54;galletita  opera;3000
55;galletita  mini tipi;1500
56;jugo caricia;1500
57;galletitas pepas;4500
58;;3500
59;chip claro;15000
60;todyño choco trebol;2500
61;jugo purosol jugo;3500
62;ventas varias;
63;cigarrillo phillips morris de 10;4000
64;fosforo;500
65;galletita tipi 360grs;6500
66;mayonesa hellman  sachet 125 c.c.;4500
67;leche llarga vida en carton 1 lts lactolanda;8500
68;servicio tecnico;
69;tapa boca;3000
70;azucar  de 500 grs;3000
71;harina mariela 1/2 kilo;2500
72;arroz tío nico rojo de 250 grs;2500
73;fideo tallarín laminado fino anita;7000
75;jabon c2 cavallaro;3500
76;jabon en polvo omo 200 grs;8000
77;crema dental colgate 50 gr;5500
78;queso  rallado la quesera;5000
79;aceite vicentin 1 lts;10000
80;prestobarba azul gillete 2 hojas;5500
81;afeitador bic amarillo;1500
82;vino uvita en  carton;8500
83;caña 3 leones petaca 1/4;2500
84;conserva extracto frutica 140 grs;1500
85;toallita  higienica siempre libre;5500
86;nescafe  sobre;4000
87;alcohol en gel;10000
88;caña aristocrata petaca 1/4;5000
90;caña aristocrata roja  750 ml;15000
91;vino toro en carton;7500
92;caña aristocrata negra  750 ml;17000
93;fotocopia;500
94;hojs  blancas ofico y a4;100
95;carpeta;3000
97;sal fina mickey 250 grs;1500
98;papel higienico paquete;5000
99;focco bajo consumo;0
100;savora;3000
101;ketchup;3000
102;almidon;6000
103;huevo la plancha;26000
104;queso paraguay;45000
105;huevo por unidad;1000
106;;4000
107;cigarrillo palermo azul de 20 unid;5000
108;mortadela upisa el kilo;27000
109;mortadela;20000
110;jamonada;30000
111;queso de muzarela;63000
112;mbeyu;3000
113;detergente  900 c.c.;4000
114;desodorante de ambiente;3000
115;detergente de 500 c.c.;2500
116;lavandina de 900 c.c.;3000
117;lavandina 750c.c.;2500
118;vino uvita de plata  700 ml;10000
119;purina pronto dog;8000
120;picadillo;3500
122;galleta molida 400;4000
123;margarina vegetal reina 10 kg;9000
124;vino cria cosecha;15000
125;chicle  beldent;3000
126;cable usb;30000
127;camara webcam;70000
128;shampu sedal sachet;1500
129;acondicionador sedal;1500
130;acondicionador pantene;1500
131;shampu pantene;1500
132;empanadas;3000
133;masa para almidon el kilo;20000
134;cigarrilo lucky strike;5500
135;chupetin mr pops;500
136;pancito;500
137;pan de hamburguesa;1000
138;ropa usada;
139;jabon liquido;10000
140;monitor;50000
141;fiambre primavera;27000
142;suavizante par ropa;10000
143;leche lactolanda en sachet de 1 lts ;7000
144;espiral;500
145;galleta;9000
146;galleta;6000
147;croqueta;2500
